Code,Medal_Type,Medal_Date,Event_Type
1903136,Gold,2024-07-27,ATH
1903147,Bronze,2024-07-27,ATH
1912525,Silver,2024-07-27,ATH
1927149,Gold,2024-07-27,HATH
1924595,Bronze,2024-07-27,HATH
1963262,Gold,2024-07-27,HATH
1916183,Silver,2024-07-27,HATH
1891304,Silver,2024-07-27,HATH
1896752,Bronze,2024-07-27,HATH
1563544,Bronze,2024-07-27,HATH
1896735,Gold,2024-07-27,HATH
1914467,Silver,2024-07-27,HATH
1891280,Bronze,2024-07-27,HATH
1571911,Bronze,2024-07-27,HATH
1907192,Gold,2024-07-27,ATH
4654306,Bronze,2024-07-27,ATH
1967140,Silver,2024-07-27,ATH
1896045,Bronze,2024-07-28,ATH
1895672,Gold,2024-07-28,ATH
1955070,Silver,2024-07-28,ATH
1564023,Bronze,2024-07-28,ATH
1896548,Gold,2024-07-28,HATH
1916194,Silver,2024-07-28,HATH
1950611,Gold,2024-07-28,HATH
1950643,Silver,2024-07-28,HATH
1973213,Bronze,2024-07-28,HATH
1896763,Gold,2024-07-28,HATH
1953840,Silver,2024-07-28,HATH
1561138,Bronze,2024-07-28,HATH
1566997,Gold,2024-07-28,HATH
1550162,Silver,2024-07-28,HATH
1953817,Bronze,2024-07-28,HATH
1891283,Bronze,2024-07-28,HATH
1913907,Gold,2024-07-28,ATH
1551388,Silver,2024-07-28,ATH
1551387,Bronze,2024-07-28,ATH
1893972,Gold,2024-07-28,ATH
1893930,Silver,2024-07-28,ATH
1538159,Bronze,2024-07-28,ATH
1902055,Gold,2024-07-28,ATH
1902069,Silver,2024-07-28,ATH
1955689,Bronze,2024-07-28,ATH
1925633,Gold,2024-07-28,ATH
1956469,Silver,2024-07-28,ATH
1909294,Gold,2024-07-28,ATH
1963635,Silver,2024-07-28,ATH
1880479,Gold,2024-07-29,ATH
1896030,Silver,2024-07-29,ATH
1961080,Bronze,2024-07-29,ATH
1912546,Gold,2024-07-29,ATH
1895687,Silver,2024-07-29,ATH
1914921,Gold,2024-07-29,ATH
1970898,Bronze,2024-07-29,ATH
1963245,Gold,2024-07-29,HATH
1924289,Silver,2024-07-29,HATH
1950602,Bronze,2024-07-29,HATH
1916223,Gold,2024-07-29,HATH
1916222,Silver,2024-07-29,HATH
1897644,Bronze,2024-07-29,HATH
1972337,Gold,2024-07-29,HATH
1891311,Silver,2024-07-29,HATH
1563437,Bronze,2024-07-29,HATH
1896740,Bronze,2024-07-29,HATH
1955526,Gold,2024-07-29,HATH
1928067,Silver,2024-07-29,HATH
1896733,Bronze,2024-07-29,HATH
1891286,Bronze,2024-07-29,HATH
1913899,Gold,2024-07-29,ATH
1572919,Silver,2024-07-29,ATH
1888047,Bronze,2024-07-29,ATH
1893845,Gold,2024-07-29,ATH
1913945,Silver,2024-07-29,ATH
1976545,Bronze,2024-07-29,ATH
1902081,Gold,2024-07-29,ATH
1925635,Gold,2024-07-29,ATH
1543549,Gold,2024-07-29,ATH
1903617,Silver,2024-07-29,ATH
1962589,Gold,2024-07-29,ATH
1543304,Bronze,2024-07-29,ATH
1925125,Bronze,2024-07-29,ATH
1896765,Gold,2024-07-30,HATH
1546651,Silver,2024-07-30,HATH
1928079,Bronze,2024-07-30,HATH
1570561,Bronze,2024-07-30,HATH
1980833,Gold,2024-07-30,HATH
1537287,Silver,2024-07-30,HATH
1891289,Bronze,2024-07-30,HATH
1550167,Bronze,2024-07-30,HATH
1904430,Gold,2024-07-30,ATH
1913928,Silver,2024-07-30,ATH
1958970,Bronze,2024-07-30,ATH
1539969,Gold,2024-07-30,ATH
1919480,Gold,2024-07-31,ATH
1918864,Silver,2024-07-31,ATH
1918860,Bronze,2024-07-31,ATH
1913770,Silver,2024-07-31,ATH
1955132,Bronze,2024-07-31,ATH
1916809,Gold,2024-07-31,ATH
1912548,Silver,2024-07-31,ATH
1895685,Bronze,2024-07-31,ATH
1920569,Gold,2024-07-31,ATH
1955071,Silver,2024-07-31,ATH
1548817,Gold,2024-07-31,HATH
1896750,Silver,2024-07-31,HATH
1891318,Bronze,2024-07-31,HATH
1961318,Bronze,2024-07-31,HATH
1898499,Gold,2024-07-31,HATH
1563082,Silver,2024-07-31,HATH
1566421,Bronze,2024-07-31,HATH
1903248,Bronze,2024-07-31,HATH
1958899,Gold,2024-07-31,ATH
1915317,Silver,2024-07-31,ATH
1967454,Bronze,2024-07-31,ATH
1972545,Bronze,2024-07-31,ATH
1905860,Silver,2024-07-31,ATH
1967058,Bronze,2024-07-31,ATH
1572557,Gold,2024-07-31,ATH
1909209,Silver,2024-07-31,ATH
1907171,Bronze,2024-07-31,ATH
1904251,Gold,2024-07-31,ATH
1926549,Silver,2024-07-31,ATH
1543967,Bronze,2024-07-31,ATH
1543963,Gold,2024-07-31,ATH
1976489,Silver,2024-07-31,ATH
1904244,Bronze,2024-07-31,ATH
1959861,Gold,2024-08-01,ATH
1953634,Silver,2024-08-01,ATH
1959866,Bronze,2024-08-01,ATH
1929767,Gold,2024-08-01,ATH
1951928,Silver,2024-08-01,ATH
1904165,Bronze,2024-08-01,ATH
1919002,Gold,2024-08-01,ATH
1905369,Silver,2024-08-01,ATH
1550975,Gold,2024-08-01,ATH
1880464,Silver,2024-08-01,ATH
1953935,Bronze,2024-08-01,ATH
1972367,Gold,2024-08-01,HATH
1552370,Silver,2024-08-01,HATH
1892957,Bronze,2024-08-01,HATH
1565754,Bronze,2024-08-01,HATH
1925349,Gold,2024-08-01,HATH
1892794,Silver,2024-08-01,HATH
1891067,Bronze,2024-08-01,HATH
1913922,Gold,2024-08-01,ATH
1555976,Silver,2024-08-01,ATH
1538084,Bronze,2024-08-01,ATH
1904977,Gold,2024-08-01,ATH
1954557,Silver,2024-08-01,ATH
1977754,Bronze,2024-08-01,ATH
1972525,Bronze,2024-08-01,ATH
1970827,Gold,2024-08-02,ATH
1536998,Silver,2024-08-02,ATH
1960959,Bronze,2024-08-02,ATH
1895661,Gold,2024-08-02,ATH
1895640,Silver,2024-08-02,ATH
1895700,Bronze,2024-08-02,ATH
1969181,Silver,2024-08-02,ATH
1976480,Bronze,2024-08-02,ATH
1891323,Gold,2024-08-02,HATH
1928072,Silver,2024-08-02,HATH
1567512,Bronze,2024-08-02,HATH
1566931,Bronze,2024-08-02,HATH
1953777,Gold,2024-08-02,HATH
1892796,Silver,2024-08-02,HATH
1928070,Bronze,2024-08-02,HATH
1891300,Bronze,2024-08-02,HATH
1977709,Gold,2024-08-02,ATH
1913972,Bronze,2024-08-02,ATH
1903621,Silver,2024-08-02,ATH
1903616,Silver,2024-08-02,ATH
1909292,Bronze,2024-08-02,ATH
1967104,Bronze,2024-08-02,ATH
1931815,Bronze,2024-08-02,HATH
1918790,Silver,2024-08-02,ATH
1918789,Bronze,2024-08-02,ATH
1904745,Gold,2024-08-02,ATH
1973102,Bronze,2024-08-02,ATH
1902147,Gold,2024-08-03,HATH
1902148,Silver,2024-08-03,HATH
1541265,Bronze,2024-08-03,HATH
1975874,Gold,2024-08-03,ATH
1908195,Silver,2024-08-03,ATH
1904741,Bronze,2024-08-03,ATH
1539986,Gold,2024-08-03,ATH
1931577,Silver,2024-08-03,ATH
1959865,Bronze,2024-08-03,ATH
1959819,Bronze,2024-08-03,ATH
1878353,Gold,2024-08-03,ATH
1920180,Silver,2024-08-03,ATH
1573388,Bronze,2024-08-03,ATH
1960688,Gold,2024-08-03,ATH
1965246,Silver,2024-08-03,ATH
1564189,Bronze,2024-08-03,ATH
1537325,Gold,2024-08-03,ATH
1960181,Silver,2024-08-03,ATH
1961011,Bronze,2024-08-03,ATH
1908333,Gold,2024-08-03,ATH
1536885,Silver,2024-08-03,ATH
1965250,Bronze,2024-08-03,ATH
1887970,Bronze,2024-08-03,HATH
1952540,Bronze,2024-08-03,HATH
1895699,Silver,2024-08-03,ATH
1895694,Bronze,2024-08-03,ATH
1906515,Gold,2024-08-03,ATH
1538160,Silver,2024-08-03,ATH
1965599,Bronze,2024-08-03,ATH
1965558,Gold,2024-08-03,ATH
1927027,Silver,2024-08-03,ATH
1927680,Gold,2024-08-03,ATH
1970505,Bronze,2024-08-03,ATH
1899653,Gold,2024-08-03,ATH
1927733,Silver,2024-08-03,ATH
1899748,Bronze,2024-08-03,ATH
1893995,Gold,2024-08-03,ATH
1888429,Silver,2024-08-03,ATH
1899493,Bronze,2024-08-03,ATH
1569852,Bronze,2024-08-03,ATH
1967069,Silver,2024-08-03,ATH
1902307,Gold,2024-08-03,HATH
1902313,Silver,2024-08-03,HATH
1931100,Bronze,2024-08-03,HATH
1562400,Bronze,2024-08-03,HATH
1927709,Gold,2024-08-03,HATH
1554972,Silver,2024-08-03,HATH
1902135,Gold,2024-08-04,HATH
1955595,Silver,2024-08-04,HATH
1902144,Bronze,2024-08-04,HATH
1918856,Gold,2024-08-04,ATH
1918865,Silver,2024-08-04,ATH
1961314,Bronze,2024-08-04,ATH
1915828,Silver,2024-08-04,ATH
1904740,Bronze,2024-08-04,ATH
1545688,Gold,2024-08-04,ATH
1918872,Silver,2024-08-04,ATH
1960173,Gold,2024-08-04,ATH
1980161,Silver,2024-08-04,ATH
1960958,Bronze,2024-08-04,ATH
1974151,Gold,2024-08-04,ATH
1916814,Silver,2024-08-04,ATH
1571563,Bronze,2024-08-04,ATH
1571559,Gold,2024-08-04,ATH
1571577,Bronze,2024-08-04,ATH
1926315,Bronze,2024-08-04,HATH
1908817,Bronze,2024-08-04,HATH
1892464,Bronze,2024-08-04,HATH
1972293,Bronze,2024-08-04,HATH
1550184,Bronze,2024-08-04,HATH
1555548,Bronze,2024-08-04,HATH
1934790,Bronze,2024-08-04,HATH
1909011,Bronze,2024-08-04,HATH
1980125,Bronze,2024-08-04,HATH
1891890,Bronze,2024-08-04,HATH
1969165,Silver,2024-08-04,ATH
1903120,Bronze,2024-08-04,ATH
1914905,Gold,2024-08-04,ATH
1914909,Silver,2024-08-04,ATH
1970905,Bronze,2024-08-04,ATH
1951724,Gold,2024-08-04,ATH
1923629,Silver,2024-08-04,ATH
1961406,Bronze,2024-08-04,ATH
1977402,Silver,2024-08-04,ATH
1902295,Gold,2024-08-04,HATH
1563390,Silver,2024-08-04,HATH
1889177,Bronze,2024-08-04,HATH
1956398,Gold,2024-08-04,HATH
1563682,Silver,2024-08-04,HATH
1878037,Bronze,2024-08-05,ATH
1897555,Silver,2024-08-05,ATH
1551061,Gold,2024-08-05,ATH
1918881,Silver,2024-08-05,ATH
1560762,Bronze,2024-08-05,ATH
1550170,Bronze,2024-08-05,ATH
1569203,Gold,2024-08-05,ATH
1960178,Silver,2024-08-05,ATH
1961218,Bronze,2024-08-05,ATH
1910560,Gold,2024-08-05,ATH
1910451,Silver,2024-08-05,ATH
1972105,Bronze,2024-08-05,ATH
1924429,Gold,2024-08-05,ATH
1536498,Silver,2024-08-05,ATH
1928047,Bronze,2024-08-05,ATH
1960721,Gold,2024-08-05,ATH
1919067,Silver,2024-08-05,ATH
1922205,Bronze,2024-08-05,ATH
1888993,Gold,2024-08-05,HATH
1926294,Silver,2024-08-05,HATH
1566617,Bronze,2024-08-05,HATH
1891498,Gold,2024-08-05,HATH
1913436,Silver,2024-08-05,HATH
1896032,Silver,2024-08-05,ATH
1913780,Bronze,2024-08-05,ATH
1880483,Silver,2024-08-05,ATH
1913913,Gold,2024-08-05,ATH
1893852,Silver,2024-08-05,ATH
1913919,Bronze,2024-08-05,ATH
1567361,Gold,2024-08-05,HATH
1955778,Bronze,2024-08-05,HATH
1955783,Silver,2024-08-05,HATH
1567359,Bronze,2024-08-05,HATH
1960933,Gold,2024-08-06,ATH
1924440,Silver,2024-08-06,ATH
1965327,Bronze,2024-08-06,ATH
1961246,Gold,2024-08-06,ATH
1552378,Bronze,2024-08-06,ATH
1965868,Gold,2024-08-06,ATH
1960588,Bronze,2024-08-06,ATH
1926102,Gold,2024-08-06,ATH
1971686,Silver,2024-08-06,ATH
1910453,Bronze,2024-08-06,ATH
1974290,Gold,2024-08-06,ATH
1960899,Silver,2024-08-06,ATH
1919077,Bronze,2024-08-06,ATH
1955645,Bronze,2024-08-06,HATH
1912009,Bronze,2024-08-06,HATH
1931331,Bronze,2024-08-06,HATH
1979870,Bronze,2024-08-06,HATH
1555098,Gold,2024-08-06,HATH
1926828,Silver,2024-08-06,HATH
1898283,Bronze,2024-08-06,HATH
1887975,Bronze,2024-08-06,HATH
1901545,Gold,2024-08-06,ATH
1901544,Silver,2024-08-06,ATH
1980115,Bronze,2024-08-06,ATH
1914912,Gold,2024-08-06,ATH
1976553,Silver,2024-08-06,ATH
1976879,Bronze,2024-08-06,ATH
1902075,Silver,2024-08-06,ATH
1544123,Bronze,2024-08-06,ATH
1571506,Gold,2024-08-06,HATH
1544882,Bronze,2024-08-06,HATH
1919983,Bronze,2024-08-06,HATH
1919973,Silver,2024-08-06,HATH
1566631,Bronze,2024-08-06,HATH
1980153,Bronze,2024-08-06,HATH
1955304,Gold,2024-08-06,HATH
1568241,Silver,2024-08-06,HATH
1570415,Bronze,2024-08-06,HATH
1555372,Gold,2024-08-07,ATH
1965896,Silver,2024-08-07,ATH
1910445,Bronze,2024-08-07,ATH
1960177,Gold,2024-08-07,ATH
1924430,Silver,2024-08-07,ATH
1912322,Gold,2024-08-07,ATH
1922593,Silver,2024-08-07,ATH
1965268,Silver,2024-08-07,ATH
1974216,Bronze,2024-08-07,ATH
1895903,Bronze,2024-08-07,HATH
1879120,Bronze,2024-08-07,HATH
1555537,Gold,2024-08-07,HATH
1879111,Silver,2024-08-07,HATH
1564362,Gold,2024-08-07,HATH
1932824,Silver,2024-08-07,HATH
1568204,Bronze,2024-08-07,HATH
1979904,Bronze,2024-08-07,HATH
1905347,Silver,2024-08-07,ATH
1970500,Gold,2024-08-07,ATH
1895121,Silver,2024-08-07,ATH
1878602,Bronze,2024-08-07,ATH
1955669,Bronze,2024-08-07,ATH
1563327,Gold,2024-08-07,ATH
1913702,Silver,2024-08-07,ATH
1563321,Bronze,2024-08-07,ATH
1904040,Gold,2024-08-07,HATH
1893274,Bronze,2024-08-07,HATH
1902841,Gold,2024-08-07,HATH
1910372,Silver,2024-08-07,HATH
1536064,Bronze,2024-08-07,HATH
1569986,Bronze,2024-08-07,HATH
1918372,Gold,2024-08-07,ATH
1898059,Silver,2024-08-07,ATH
1917153,Bronze,2024-08-07,ATH
1918377,Gold,2024-08-07,ATH
1550148,Silver,2024-08-07,ATH
1898024,Bronze,2024-08-07,ATH
1958652,Silver,2024-08-07,HATH
1532873,Bronze,2024-08-07,HATH
1566627,Bronze,2024-08-07,HATH
1544897,Gold,2024-08-07,HATH
1532872,Silver,2024-08-07,HATH
1571504,Bronze,2024-08-07,HATH
1566601,Bronze,2024-08-07,HATH
1955373,Gold,2024-08-07,HATH
1571747,Silver,2024-08-07,HATH
1920000,Bronze,2024-08-07,HATH
1960961,Gold,2024-08-08,ATH
1965223,Silver,2024-08-08,ATH
1901251,Bronze,2024-08-08,ATH
1960659,Silver,2024-08-08,ATH
1878563,Gold,2024-08-08,ATH
1550250,Silver,2024-08-08,ATH
1573418,Bronze,2024-08-08,ATH
1965308,Gold,2024-08-08,ATH
1960581,Silver,2024-08-08,ATH
1972078,Bronze,2024-08-08,ATH
1960711,Gold,2024-08-08,ATH
1920175,Silver,2024-08-08,ATH
1556045,Gold,2024-08-08,HATH
1879110,Silver,2024-08-08,HATH
1555185,Bronze,2024-08-08,HATH
1926832,Gold,2024-08-08,HATH
1568186,Silver,2024-08-08,HATH
1894537,Bronze,2024-08-08,HATH
1895717,Gold,2024-08-08,ATH
1933816,Silver,2024-08-08,ATH
1915370,Bronze,2024-08-08,ATH
1969180,Silver,2024-08-08,ATH
1912522,Bronze,2024-08-08,ATH
1901550,Gold,2024-08-08,ATH
1901549,Silver,2024-08-08,ATH
1535349,Bronze,2024-08-08,ATH
1972515,Gold,2024-08-08,ATH
1899728,Gold,2024-08-08,ATH
1559512,Silver,2024-08-08,ATH
1970517,Bronze,2024-08-08,ATH
1913699,Silver,2024-08-08,ATH
1950309,Bronze,2024-08-08,ATH
1887714,Gold,2024-08-08,HATH
1537401,Silver,2024-08-08,HATH
1910367,Bronze,2024-08-08,HATH
1955815,Bronze,2024-08-08,HATH
1904038,Gold,2024-08-08,HATH
1536067,Silver,2024-08-08,HATH
1966505,Bronze,2024-08-08,HATH
2493835,Bronze,2024-08-08,HATH
1898067,Silver,2024-08-08,ATH
1902787,Bronze,2024-08-08,ATH
1918379,Gold,2024-08-08,ATH
1965815,Silver,2024-08-08,ATH
1569563,Bronze,2024-08-08,ATH
1544928,Gold,2024-08-08,HATH
1550119,Silver,2024-08-08,HATH
1981760,Bronze,2024-08-08,HATH
1571498,Bronze,2024-08-08,HATH
1559471,Gold,2024-08-08,HATH
1544880,Silver,2024-08-08,HATH
1550116,Bronze,2024-08-08,HATH
1879518,Bronze,2024-08-08,HATH
1960228,Silver,2024-08-08,HATH
1980149,Bronze,2024-08-08,HATH
1920006,Bronze,2024-08-08,HATH
1960684,Gold,2024-08-09,ATH
1894095,Silver,2024-08-09,ATH
1951913,Bronze,2024-08-09,ATH
1904099,Gold,2024-08-09,ATH
1552375,Bronze,2024-08-09,ATH
1552305,Silver,2024-08-09,ATH
1899666,Gold,2024-08-09,ATH
1915338,Silver,2024-08-09,ATH
1573098,Bronze,2024-08-09,ATH
1920183,Gold,2024-08-09,ATH
1926695,Silver,2024-08-09,ATH
1919065,Bronze,2024-08-09,ATH
1556797,Gold,2024-08-09,HATH
1535187,Silver,2024-08-09,HATH
1556860,Gold,2024-08-09,HATH
1972343,Silver,2024-08-09,HATH
1926833,Gold,2024-08-09,HATH
1568182,Silver,2024-08-09,HATH
1540353,Gold,2024-08-09,HATH
1926827,Silver,2024-08-09,HATH
1953038,Gold,2024-08-09,HATH
1924559,Silver,2024-08-09,HATH
1909907,Bronze,2024-08-09,HATH
1878716,Gold,2024-08-09,ATH
1952595,Silver,2024-08-09,ATH
1550295,Bronze,2024-08-09,ATH
1969182,Gold,2024-08-09,ATH
1912515,Bronze,2024-08-09,ATH
1901538,Gold,2024-08-09,ATH
1901539,Bronze,2024-08-09,ATH
1909030,Gold,2024-08-09,ATH
1907234,Silver,2024-08-09,ATH
1902450,Bronze,2024-08-09,ATH
1566437,Gold,2024-08-09,ATH
1981549,Silver,2024-08-09,ATH
1535852,Bronze,2024-08-09,ATH
1544218,Gold,2024-08-09,ATH
1892022,Silver,2024-08-09,ATH
1560677,Bronze,2024-08-09,ATH
1536058,Silver,2024-08-09,HATH
1929685,Bronze,2024-08-09,HATH
1914832,Bronze,2024-08-09,HATH
1572318,Gold,2024-08-09,HATH
1956372,Silver,2024-08-09,HATH
1930773,Bronze,2024-08-09,HATH
1903284,Bronze,2024-08-09,HATH
1903011,Gold,2024-08-09,ATH
1543506,Silver,2024-08-09,ATH
1568724,Bronze,2024-08-09,ATH
1917154,Gold,2024-08-09,ATH
1543509,Silver,2024-08-09,ATH
1955415,Silver,2024-08-09,HATH
1931496,Bronze,2024-08-09,HATH
1562157,Bronze,2024-08-09,HATH
1556873,Gold,2024-08-09,HATH
1544803,Silver,2024-08-09,HATH
1955300,Bronze,2024-08-09,HATH
1963800,Bronze,2024-08-09,HATH
1572203,Silver,2024-08-09,HATH
1955426,Bronze,2024-08-09,HATH
1920010,Bronze,2024-08-09,HATH
1898250,Gold,2024-08-10,ATH
1963077,Silver,2024-08-10,ATH
1910412,Gold,2024-08-10,ATH
1974048,Silver,2024-08-10,ATH
1963520,Bronze,2024-08-10,ATH
1926713,Gold,2024-08-10,ATH
1965306,Silver,2024-08-10,ATH
1566681,Bronze,2024-08-10,ATH
1901284,Gold,2024-08-10,ATH
1910555,Bronze,2024-08-10,ATH
1960169,Gold,2024-08-10,ATH
1911932,Silver,2024-08-10,ATH
1537183,Bronze,2024-08-10,ATH
1956840,Bronze,2024-08-10,ATH
1919914,Gold,2024-08-10,ATH
1981085,Silver,2024-08-10,ATH
1892137,Bronze,2024-08-10,ATH
1556869,Gold,2024-08-10,HATH
1934775,Silver,2024-08-10,HATH
1556049,Gold,2024-08-10,HATH
1878687,Silver,2024-08-10,HATH
1887963,Gold,2024-08-10,HATH
1568655,Silver,2024-08-10,HATH
1926826,Gold,2024-08-10,HATH
1965679,Silver,2024-08-10,HATH
1958888,Gold,2024-08-10,HATH
1880191,Silver,2024-08-10,HATH
1955590,Bronze,2024-08-10,HATH
1878715,Gold,2024-08-10,ATH
1570863,Silver,2024-08-10,ATH
1569972,Bronze,2024-08-10,ATH
1964547,Gold,2024-08-10,ATH
1955126,Silver,2024-08-10,ATH
1564506,Bronze,2024-08-10,ATH
1568350,Silver,2024-08-10,ATH
1892423,Bronze,2024-08-10,ATH
1901556,Gold,2024-08-10,ATH
1891685,Silver,2024-08-10,ATH
1900857,Bronze,2024-08-10,ATH
1892506,Silver,2024-08-10,ATH
1913218,Bronze,2024-08-10,ATH
1932649,Gold,2024-08-10,ATH
1887939,Silver,2024-08-10,ATH
1553031,Bronze,2024-08-10,ATH
1981131,Gold,2024-08-10,ATH
1950307,Silver,2024-08-10,ATH
1560673,Bronze,2024-08-10,ATH
1536045,Gold,2024-08-10,HATH
1896149,Silver,2024-08-10,HATH
1897088,Bronze,2024-08-10,HATH
1548401,Bronze,2024-08-10,HATH
1893272,Gold,2024-08-10,HATH
1887768,Silver,2024-08-10,HATH
1904039,Bronze,2024-08-10,HATH
1566738,Bronze,2024-08-10,HATH
1551443,Gold,2024-08-10,ATH
1544424,Silver,2024-08-10,ATH
1540334,Bronze,2024-08-10,ATH
1918369,Gold,2024-08-10,ATH
1551307,Silver,2024-08-10,ATH
1569832,Bronze,2024-08-10,ATH
1878625,Gold,2024-08-10,ATH
1563010,Silver,2024-08-10,ATH
1554885,Gold,2024-08-10,HATH
1543088,Silver,2024-08-10,HATH
1570546,Bronze,2024-08-10,HATH
1562164,Gold,2024-08-10,HATH
1955345,Bronze,2024-08-10,HATH
3429662,Bronze,2024-08-10,HATH
1897022,Silver,2024-08-10,HATH
1902786,Bronze,2024-08-10,HATH
1878635,Bronze,2024-08-10,HATH
1901487,Silver,2024-08-11,ATH
1932851,Bronze,2024-08-11,ATH
1955106,Gold,2024-08-11,ATH
1572953,Silver,2024-08-11,ATH
1889704,Silver,2024-08-11,ATH
1545116,Silver,2024-08-11,ATH
1786902,Bronze,2024-08-11,ATH
1918376,Gold,2024-08-11,ATH
1894414,Silver,2024-08-11,ATH
1544179,Bronze,2024-08-11,ATH
1544830,Silver,2024-08-11,HATH
1537188,Bronze,2024-08-11,HATH
1559387,Bronze,2024-08-11,HATH
1540305,Gold,2024-08-11,HATH
1552495,Silver,2024-08-11,HATH
1981785,Bronze,2024-08-11,HATH
1543095,Bronze,2024-08-11,HATH
1955344,Silver,2024-08-11,HATH
1571936,Bronze,2024-08-11,HATH
1535513,Bronze,2024-08-11,HATH
1896230,Gold,2024-08-09,ATH
1548948,Silver,2024-08-09,ATH
1923694,Bronze,2024-08-09,ATH
1903112,Gold,2024-08-09,ATH
1977926,Silver,2024-08-09,ATH
1895596,Bronze,2024-08-09,ATH
